1	1	651	22	87	27	ialt
2	1	1319	112	150	36	ialt
3	1	1619	86	171	69	ialt
4	1	3397	221	448	79	ialt
5	3	373	7.3	83	1.3	ialt
6	3	188	19	18	4	ialt
7	3	1426	51	188	57	ialt
8	1	2381	217	105	124	ialt
9	1	1202	115	144	20	ialt
10	1	1811	182	61	94	ialt
11	1	1121	116	42	55	ialt
12	1	960	68	136	18	ialt
13	2	217	15	34	2	ialt
14	3	1288	24	283	5	ialt
15	1	1112	43	194	28	ialt
16	1	1526	85	230	30	ialt
17	2	312	31	32	6.5	ialt
18	2	9806	345	1673	154	ialt
19	2	1368	40	139	76	ialt
20	2	301	39	10	12	ialt
21	2	1771	116	193	58	ialt
22	2	185	27	15	2.8	ialt
23	2	281	4.5	39	15	ialt
24	3	103	3.3	20	0.58	ialt
25	3	307	14	38	10	ialt
26	3	217	22	10	10	ialt
27	3	2129	62	458	12	ialt
28	3	99	8.4	14	0.6	ialt
29	1	1813	122	100	104	ialt
30	1	2535	142	315	80	ialt
31	1	570	61	53	14	ialt
32	1	1074	26	240	7	ialt
33	2	1192	125	55	56	ialt
34	1	1608	101	138	62	ialt
35	2	1424	121	219	9.5	ialt
36	3	293	16	30	11	ialt
37	3	176	5.2	32	2.6	ialt
38	3	566	24	24	43	ialt
39	3	187	16	29	0.47	ialt
40	3	256	30	26	3.4	ialt
41	2	2771	80	524	21	ialt
42	2	749	28	125	18	ialt
43	2	509	7.9	119	4.3	ialt
44	2	2360	137	316	66	ialt
